material or substance name,Validation,RDKit2D_MinEStateIndex,RDKit2D_qed,RDKit2D_HeavyAtomMolWt,RDKit2D_HallKierAlpha,RDKit2D_LabuteASA,RDKit2D_TPSA,RDKit2D_VSA_EState1,RDKit2D_VSA_EState3,RDKit2D_VSA_EState8,RDKit2D_NHOHCount,RDKit2D_NumHDonors,RDKit2D_Phi,RDKit2D_MolLogP,RDKit2D_MolMR,Mordred2D_SpMAD_A,Mordred2D_ATS1dv,Mordred2D_ATS3dv,Mordred2D_ATS4dv,Mordred2D_ATS5dv,Mordred2D_ATS0Z,Mordred2D_ATS1Z,Mordred2D_ATS0m,Mordred2D_ATS1m,Mordred2D_ATS2m,Mordred2D_ATS3m,Mordred2D_ATS0p,Mordred2D_ATS2p,Mordred2D_AATS0dv,Mordred2D_AATS0m,Mordred2D_AATS0se,Mordred2D_AATS0are,Mordred2D_AATS0i,Mordred2D_ATSC0dv,Mordred2D_ATSC1dv,Mordred2D_ATSC0m,Mordred2D_ATSC1v,Mordred2D_ATSC0se,Mordred2D_ATSC0pe,Mordred2D_ATSC1pe,Mordred2D_ATSC1are,Mordred2D_ATSC1p,Mordred2D_ATSC1i,Mordred2D_AATSC0dv,Mordred2D_AATSC0m,Mordred2D_AATSC0are,Mordred2D_AATSC0i,Mordred2D_BCUTdv-1l,Mordred2D_BCUTm-1h,Mordred2D_BCUTare-1h,Mordred2D_BCUTp-1l,Mordred2D_SpAbs_Dzp,Mordred2D_VR2_Dzp,Mordred2D_Xp-5d,Mordred2D_Xp-6d,Mordred2D_Xp-7d,Mordred2D_SZ,Mordred2D_Mare,Mordred2D_Mi,Mordred2D_SpMAD_Dt,Mordred2D_SsCH3,Mordred2D_ETA_alpha,Mordred2D_ETA_beta,Mordred2D_ETA_epsilon_1,Mordred2D_ETA_epsilon_5,Mordred2D_ETA_dEpsilon_D,Mordred2D_fragCpx,Mordred2D_IC0,Mordred2D_TIC0,Mordred2D_MIC5,Mordred2D_ZMIC0,Mordred2D_ZMIC1,Mordred2D_FilterItLogS,Mordred2D_VMcGowan,Mordred2D_AMID,Mordred2D_MID_h,Mordred2D_MPC6,Mordred2D_piPC1,Mordred2D_piPC5,Mordred2D_piPC6,Mordred2D_TpiPC10,Mordred2D_TopoPSA
n-HEXANE,0,1.355,0.4629542813199688,72.06599999999999,0.0,40.563961599812586,0.0,0.0,0.0,4.463611111111111,0,0,5.0,2.5866000000000007,29.81599999999998,1.164653069144978,16.0,8.0,4.0,1.0,230.0,264.0,879.809622,890.8198369999997,853.5730599999998,675.1054829999999,22.95798066788599,40.09970386849,0.9,43.9904811,6.965079600000001,5.263000000000001,167.4806632439743,13.0,0.75,508.4772378,-110.31243258521904,0.0996071999999999,0.5144999999999988,-0.0600250000000022,-0.0441000000000012,-0.4931478995760074,-2.678787217340018,0.65,25.42386189,0.0188999999999999,1.1480516645742884,0.9871324231766964,12.198113496106371,2.6871134961063783,1.4865077408153768,24.21862300782597,2.219424999731181,0.25,0.0,0.0,8.333333333333332,0.916,1.1453513760734615,4.036437167970996,4.463611111111111,3.0,2.5,0.4199999999999999,0.7000000000000001,0.0,5.0,0.8812908992306927,17.625817984613853,13.431363307842076,23.802045510726657,20.174385663055805,-2.167466112453348,95.40000000000012,1.8065250715749253,0.0,0,1.791759469228055,0.6931471805599453,0.0,3.091042453358316,0.0
2-METHYLPENTANE,0,0.8981481481481479,0.4838902980848686,72.06599999999999,0.0,40.563961599812586,0.0,0.0,0.0,6.729166666666667,0,0,3.2000000000000006,2.442500000000001,29.74599999999998,1.0258945123917511,18.0,7.0,2.0,0.0,230.0,264.0,879.809622,890.8198369999998,974.639069,741.6516270000001,22.95798066788599,41.10612815333899,1.0,43.9904811,6.965079600000001,5.263000000000001,167.4806632439743,15.0,2.75,508.4772378,-110.31243258521906,0.0996071999999999,0.5144999999999988,-0.0600250000000022,-0.0441000000000012,-0.4931478995760074,-2.6787872173400173,0.75,25.42386189,0.0188999999999999,1.1480516645742884,0.9872142771136608,12.21308154547562,2.702081545475621,1.4714547699949356,22.11756973898432,2.2799686921265745,0.0,0.0,0.0,8.333333333333332,0.916,1.1453513760734615,3.6862616231640537,6.729166666666667,3.0,2.5,0.4199999999999999,0.7000000000000001,0.0,5.0,0.8812908992306927,17.625817984613853,16.19871697773304,23.802045510726657,17.71551634031143,-1.7936661124533475,95.40000000000012,1.779862915723137,0.0,0,1.791759469228055,0.0,0.0,3.091042453358316,0.0
3-METHYLPENTANE,0,0.9351851851851852,0.4838902980848686,72.06599999999999,0.0,40.563961599812586,0.0,0.0,0.0,6.738425925925926,0,0,3.2000000000000006,2.442500000000001,29.74599999999998,1.14982991426106,19.0,6.0,1.0,0.0,230.0,264.0,879.809622,890.8198369999998,974.639069,862.7176359999999,22.95798066788599,41.106128153339,1.0,43.9904811,6.965079600000001,5.263000000000001,167.4806632439743,15.0,3.75,508.4772378,-110.31243258521906,0.0996071999999999,0.5144999999999988,-0.0600250000000022,-0.0441000000000013,-0.4931478995760074,-2.6787872173400173,0.75,25.42386189,0.0188999999999999,1.1480516645742884,0.9872569003884868,12.214928714421616,2.703928714421606,1.4694663718422776,21.484809458209448,2.3133389066722034,0.0,0.0,0.0,8.333333333333332,0.916,1.1453513760734615,3.5808015763682426,6.738425925925926,3.0,2.5,0.4199999999999999,0.7000000000000001,0.0,5.0,0.8812908992306927,17.625817984613853,14.79601697773304,23.802045510726657,17.71551634031143,-1.7936661124533475,95.40000000000012,1.7793084660333254,0.0,0,1.791759469228055,0.0,0.0,3.091042453358316,0.0
"2,2-DIMETHYLBUTANE",0,0.5416666666666667,0.4244820558666797,72.06599999999999,0.0,40.563961599812586,0.0,0.0,0.0,8.9375,0,0,1.6326530612244898,2.442500000000001,29.74599999999998,0.9697709703921366,22.0,3.0,0.0,0.0,230.0,264.0,879.809622,890.8198369999998,1216.771087,874.7439149999998,22.95798066788599,43.118976723036994,1.2,43.9904811,6.965079600000001,5.263000000000001,167.4806632439743,19.0,6.75,508.4772378,-110.312432585219,0.0996071999999999,0.5144999999999988,-0.0600250000000022,-0.0441000000000013,-0.4931478995760073,-2.6787872173400182,0.95,25.42386189,0.0188999999999999,1.1480516645742884,0.98661157222431,12.235731021732326,2.724731021732325,1.4487924460737234,19.34042203746926,2.4012071063442613,0.0,0.0,0.0,8.333333333333332,0.916,1.1453513760734615,3.223403672911543,8.9375,3.0,2.5,0.4199999999999999,0.7000000000000001,0.0,5.0,0.8812908992306927,17.625817984613853,13.988883967872612,23.802045510726657,18.781228806123387,-1.7762061124533477,95.40000000000012,1.744331709611622,0.0,0,1.791759469228055,0.0,0.0,3.091042453358316,0.0
"2,3-DIMETHYLBUTANE",0,0.8518518518518516,0.4590282783168001,72.06599999999999,0.0,40.563961599812586,0.0,0.0,0.0,8.962962962962964,0,0,2.2222222222222223,2.2984,29.675999999999984,1.0000000000000004,21.0,4.0,0.0,0.0,230.0,264.0,879.809622,890.8198369999999,1095.705078,929.26378,22.95798066788599,42.11255243818799,1.1,43.9904811,6.965079600000001,5.263000000000001,167.4806632439743,17.0,5.75,508.4772378,-110.31243258521906,0.0996071999999999,0.5144999999999988,-0.0600250000000022,-0.0441000000000013,-0.4931478995760073,-2.678787217340017,0.85,25.42386189,0.0188999999999999,1.1480516645742884,0.9865813897322372,12.226799269627108,2.7157992696271043,1.457598023483342,20.000000000000007,2.3581126660894465,0.0,0.0,0.0,8.333333333333332,0.916,1.1453513760734615,3.333333333333334,8.962962962962964,3.0,2.5,0.4199999999999999,0.7000000000000001,0.0,5.0,0.8812908992306927,17.625817984613853,10.348270647623998,23.802045510726657,20.174385663055805,-1.4198661124533474,95.40000000000012,1.7539409800204082,0.0,0,1.791759469228055,0.0,0.0,3.091042453358316,0.0
1-METHYL-4-ISOPROPYLCYCLOHEXANE,0,0.9236111111111108,0.5229103045670876,120.10999999999996,0.0,65.01789890386979,0.0,0.0,0.0,7.1089814814814805,0,0,2.760710059171598,3.468700000000003,45.96000000000002,1.1936237570137334,50.0,41.0,20.0,9.0,380.0,480.0,1462.9624899999994,1684.7829700000011,2300.2833969999983,2218.677395,36.78125809698001,79.89617430303699,1.5333333333333334,48.76541633333331,6.992481333333336,5.3100000000000005,165.543220046166,32.666666666666664,10.000000000000004,807.1067266666666,-3.0103577709590847e-14,0.1581066666666665,0.8166666666666652,-4.143313778490507e-15,-9.026113190202522e-16,5.889936795452084e-15,-1.3984695686411897e-13,1.0888888888888888,26.903557555555555,0.0199999999999999,1.214869486321998,0.98863386445043,12.244275473792626,2.7332754737926352,1.4439642859488362,49.58914148211348,3.439312404495156,1.449135293073096,0.9199574179672634,0.1924500897298752,13.33333333333333,0.9199999999999998,1.1384298819747254,8.277109521849402,7.1089814814814805,5.0,5.0,0.4333333333333337,0.7000000000000001,0.0,10.0,0.9182958340544896,27.54887502163469,19.044599474430743,39.49875002403854,29.06049105715718,-2.268749115167914,140.8999999999999,1.9385708226955547,0.0,12,2.3978952727983707,2.833213344056216,2.5649493574615367,4.543294782270004,0.0
n-HEPTANE,0,1.3611111111111112,0.4763098736533007,84.07699999999998,0.0,46.92890371420919,0.0,0.0,0.0,4.491388888888888,0,0,6.0,2.976700000000002,34.432999999999986,1.1506684263216709,20.0,12.0,8.0,4.0,268.0,312.0,1026.1058709999998,1059.298134,1047.281597,871.862212,26.63610647758399,47.787394013339,0.9565217391304348,44.61329873913042,6.968653739130437,5.26913043478261,167.22795326165146,15.739130434782613,0.945179584120982,589.5388264347828,-108.9463475244628,0.115486608695652,0.5965217391304339,-0.0592816635160715,-0.0435538752362976,-0.4870408637454455,-2.6456137017826444,0.6843100189035919,25.632122888468817,0.019054820415879,1.1574559945298442,0.9871447154965196,12.202366476080202,2.6913664760802147,1.4831599424998865,33.25076460311705,2.460427023395225,0.3535533905932738,0.1767766952966369,0.0,9.666666666666664,0.9165217391304348,1.1444485724953657,4.750109229016721,4.491388888888888,3.5,3.0,0.4217391304347827,0.7000000000000001,0.0,6.0,0.8865408928220899,20.39044053490807,15.106072721840498,27.765075162887893,23.862714211800487,-2.599192278361068,109.49000000000012,1.8333983967282672,0.0,1,1.9459101490553128,1.0986122886681098,0.6931471805599453,3.367295829986474,0.0
2-METHYLHEXANE,0,0.9027314814814812,0.5112703489666591,84.07699999999998,0.0,46.92890371420919,0.0,0.0,0.0,6.785416666666666,0,0,4.166666666666667,2.832600000000001,34.362999999999985,1.1039152300446493,22.0,12.0,7.0,2.0,268.0,312.0,1026.1058709999998,1059.298134,1168.3476059999998,938.408356,26.63610647758399,48.79381829818799,1.0434782608695652,44.61329873913042,6.968653739130437,5.26913043478261,167.22795326165146,17.739130434782602,2.945179584120984,589.5388264347828,-108.9463475244628,0.115486608695652,0.5965217391304339,-0.0592816635160715,-0.0435538752362976,-0.4870408637454455,-2.645613701782645,0.7712665406427218,25.632122888468817,0.019054820415879,1.1574559945298442,0.9871324742012568,12.215247699503498,2.704247699503487,1.470004486821016,30.80953372865897,2.501937194201259,0.408248290463863,0.0,0.0,9.666666666666664,0.9165217391304348,1.1444485724953657,4.401361961236996,6.785416666666666,3.5,3.0,0.4217391304347827,0.7000000000000001,0.0,6.0,0.8865408928220899,20.39044053490807,17.51246721739785,27.765075162887893,20.806172767965645,-2.225392278361068,109.49000000000012,1.810052182209592,0.0,0,1.9459101490553128,1.0986122886681098,0.0,3.367295829986474,0.0
3-METHYLHEXANE,0,0.949074074074074,0.5112703489666591,84.07699999999998,0.0,46.92890371420919,0.0,0.0,0.0,6.8015740740740736,0,0,4.166666666666667,2.832600000000001,34.362999999999985,1.1254945748710952,23.0,12.0,5.0,1.0,268.0,312.0,1026.1058709999998,1059.2981340000003,1168.3476059999998,1059.474365,26.63610647758399,48.79381829818799,1.0434782608695652,44.61329873913042,6.968653739130437,5.26913043478261,167.22795326165146,17.7391304347826,3.9451795841209822,589.5388264347828,-108.9463475244628,0.115486608695652,0.5965217391304339,-0.0592816635160715,-0.0435538752362976,-0.4870408637454455,-2.6456137017826444,0.7712665406427217,25.632122888468817,0.019054820415879,1.1574559945298442,0.9871324252642948,12.217680290127214,2.7066802901272298,1.4675256179864191,29.727157377265137,2.540763800799173,0.2041241452319315,0.0,0.0,9.666666666666664,0.9165217391304348,1.1444485724953657,4.246736768180734,6.8015740740740736,3.5,3.0,0.4217391304347827,0.7000000000000001,0.0,6.0,0.8865408928220899,20.39044053490807,18.81985852174568,27.765075162887893,20.806172767965645,-2.225392278361068,109.49000000000012,1.809339318322692,0.0,0,1.9459101490553128,0.6931471805599453,0.0,3.367295829986474,0.0
3-ETHYLPENTANE,0,0.9861111111111108,0.5112703489666591,84.07699999999998,0.0,46.92890371420919,0.0,0.0,0.0,6.784722222222221,0,0,4.166666666666667,2.832600000000001,34.362999999999985,1.1428571428571428,24.0,12.0,3.0,0.0,268.0,312.0,1026.1058709999998,1059.298134,1168.3476059999996,1180.540374,26.63610647758399,48.79381829818799,1.0434782608695652,44.61329873913042,6.968653739130437,5.26913043478261,167.22795326165146,17.7391304347826,4.945179584120982,589.5388264347828,-108.9463475244628,0.115486608695652,0.5965217391304339,-0.0592816635160715,-0.0435538752362976,-0.4870408637454455,-2.645613701782645,0.7712665406427217,25.632122888468817,0.019054820415879,1.1574559945298442,0.987256900388486,12.219352920875066,2.7083529208750736,1.465816181426547,28.5938952628074,2.579883719705433,0.0,0.0,0.0,9.666666666666664,0.9165217391304348,1.1444485724953657,4.084842180401057,6.784722222222221,3.5,3.0,0.4217391304347827,0.7000000000000001,0.0,6.0,0.8865408928220899,20.39044053490807,12.8117480614033,27.765075162887893,20.806172767965645,-2.225392278361068,109.49000000000012,1.8098853428460315,0.0,0,1.9459101490553128,0.0,0.0,3.367295829986474,0.0
